,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,LapTimeSeconds
90,0 days 02:02:27.188000,4,0 days 00:01:26.072000,38.0,,,0 days 00:00:28.174000,0 days 00:00:29.430000,0 days 00:00:28.468000,0 days 02:01:29.290000,0 days 02:01:58.720000,0 days 02:02:27.188000,313.0,314.0,315.0,317.0,False,HARD,14.0,True,2,0 days 02:01:01.116000,McLaren,NOR,1,True,2021-09-12 14:02:02.725,86.072
91,0 days 02:03:53.100000,4,0 days 00:01:25.912000,39.0,,,0 days 00:00:28.155000,0 days 00:00:29.356000,0 days 00:00:28.401000,0 days 02:02:55.343000,0 days 02:03:24.699000,0 days 02:03:53.100000,315.0,315.0,314.0,320.0,False,HARD,15.0,True,2,0 days 02:02:27.188000,McLaren,NOR,1,True,2021-09-12 14:03:28.797,85.912
92,0 days 02:05:18.938000,4,0 days 00:01:25.838000,40.0,,,0 days 00:00:28.066000,0 days 00:00:29.398000,0 days 00:00:28.374000,0 days 02:04:21.166000,0 days 02:04:50.564000,0 days 02:05:18.938000,,316.0,314.0,,False,HARD,16.0,True,2,0 days 02:03:53.100000,McLaren,NOR,1,True,2021-09-12 14:04:54.709,85.83800000000001
93,0 days 02:06:44.798000,4,0 days 00:01:25.860000,41.0,,,0 days 00:00:28.083000,0 days 00:00:29.396000,0 days 00:00:28.381000,0 days 02:05:47.021000,0 days 02:06:16.417000,0 days 02:06:44.798000,314.0,317.0,315.0,318.0,False,HARD,17.0,True,2,0 days 02:05:18.938000,McLaren,NOR,2,True,2021-09-12 14:06:20.547,85.86
94,0 days 02:08:10.723000,4,0 days 00:01:25.925000,42.0,,,0 days 00:00:28.268000,0 days 00:00:29.412000,0 days 00:00:28.245000,0 days 02:07:13.066000,0 days 02:07:42.478000,0 days 02:08:10.723000,315.0,315.0,315.0,315.0,False,HARD,18.0,True,2,0 days 02:06:44.798000,McLaren,NOR,1,True,2021-09-12 14:07:46.407,85.92500000000001
95,0 days 02:09:37.757000,4,0 days 00:01:27.034000,43.0,,,0 days 00:00:28.141000,0 days 00:00:29.474000,0 days 00:00:29.419000,0 days 02:08:38.864000,0 days 02:09:08.338000,0 days 02:09:37.757000,319.0,315.0,313.0,317.0,False,HARD,19.0,True,2,0 days 02:08:10.723000,McLaren,NOR,2,True,2021-09-12 14:09:12.332,87.034
96,0 days 02:11:22.402000,4,0 days 00:01:44.645000,44.0,,,0 days 00:00:28.039000,0 days 00:00:41.522000,0 days 00:00:35.084000,0 days 02:10:05.796000,0 days 02:10:47.318000,0 days 02:11:22.402000,315.0,172.0,316.0,,False,HARD,20.0,True,2,0 days 02:09:37.757000,McLaren,NOR,267,False,2021-09-12 14:10:39.366,104.64500000000001
97,0 days 02:12:47.782000,4,0 days 00:01:25.380000,45.0,,,0 days 00:00:27.997000,0 days 00:00:29.143000,0 days 00:00:28.240000,0 days 02:11:50.399000,0 days 02:12:19.542000,0 days 02:12:47.782000,312.0,313.0,316.0,332.0,False,HARD,21.0,True,2,0 days 02:11:22.402000,McLaren,NOR,1,True,2021-09-12 14:12:24.011,85.38000000000001
98,0 days 02:14:13.168000,4,0 days 00:01:25.386000,46.0,,,0 days 00:00:28.003000,0 days 00:00:29.101000,0 days 00:00:28.282000,0 days 02:13:15.785000,0 days 02:13:44.886000,0 days 02:14:13.168000,311.0,312.0,316.0,318.0,False,HARD,22.0,True,2,0 days 02:12:47.782000,McLaren,NOR,1,True,2021-09-12 14:13:49.391,85.38600000000001
99,0 days 02:15:38.741000,4,0 days 00:01:25.573000,47.0,,,0 days 00:00:28.009000,0 days 00:00:29.261000,0 days 00:00:28.303000,0 days 02:14:41.177000,0 days 02:15:10.438000,0 days 02:15:38.741000,313.0,312.0,315.0,,False,HARD,23.0,True,2,0 days 02:14:13.168000,McLaren,NOR,1,True,2021-09-12 14:15:14.777,85.57300000000001
100,0 days 02:17:04.469000,4,0 days 00:01:25.728000,48.0,,,0 days 00:00:28.049000,0 days 00:00:29.376000,0 days 00:00:28.303000,0 days 02:16:06.790000,0 days 02:16:36.166000,0 days 02:17:04.469000,,314.0,315.0,,False,HARD,24.0,True,2,0 days 02:15:38.741000,McLaren,NOR,1,True,2021-09-12 14:16:40.350,85.72800000000001
101,0 days 02:18:29.865000,4,0 days 00:01:25.396000,49.0,,,0 days 00:00:27.948000,0 days 00:00:29.085000,0 days 00:00:28.363000,0 days 02:17:32.417000,0 days 02:18:01.502000,0 days 02:18:29.865000,314.0,315.0,315.0,321.0,False,HARD,25.0,True,2,0 days 02:17:04.469000,McLaren,NOR,1,True,2021-09-12 14:18:06.078,85.396
102,0 days 02:19:55.237000,4,0 days 00:01:25.372000,50.0,,,0 days 00:00:27.990000,0 days 00:00:29.152000,0 days 00:00:28.230000,0 days 02:18:57.855000,0 days 02:19:27.007000,0 days 02:19:55.237000,315.0,315.0,317.0,320.0,False,HARD,26.0,True,2,0 days 02:18:29.865000,McLaren,NOR,1,True,2021-09-12 14:19:31.474,85.372
103,0 days 02:21:20.522000,4,0 days 00:01:25.285000,51.0,,,0 days 00:00:27.932000,0 days 00:00:29.189000,0 days 00:00:28.164000,0 days 02:20:23.169000,0 days 02:20:52.358000,0 days 02:21:20.522000,314.0,315.0,316.0,322.0,False,HARD,27.0,True,2,0 days 02:19:55.237000,McLaren,NOR,1,True,2021-09-12 14:20:56.846,85.28500000000001
104,0 days 02:22:45.936000,4,0 days 00:01:25.414000,52.0,,,0 days 00:00:28.060000,0 days 00:00:29.228000,0 days 00:00:28.126000,0 days 02:21:48.582000,0 days 02:22:17.810000,0 days 02:22:45.936000,,314.0,315.0,320.0,False,HARD,28.0,True,2,0 days 02:21:20.522000,McLaren,NOR,1,True,2021-09-12 14:22:22.131,85.414
105,0 days 02:24:10.907000,4,0 days 00:01:24.971000,53.0,,,0 days 00:00:28.031000,0 days 00:00:28.917000,0 days 00:00:28.023000,0 days 02:23:13.967000,0 days 02:23:42.884000,0 days 02:24:10.907000,315.0,327.0,315.0,319.0,True,HARD,29.0,True,2,0 days 02:22:45.936000,McLaren,NOR,1,True,2021-09-12 14:23:47.545,84.971
